Gene,UniProt,Sample type,Tissue,Species,Repository,Reference,Confidence Score,Description,Coverage Map File,Total Ion Intensity
Ctsz,Q9WUU7,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,186.576,Cathepsin Z,Normal lung ECM (Quantitative detergent solubility profiling)_Q9WUU7.html,31065000
Tnc,Q80YX1-2,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,186.201,Isoform 2 of Tenascin,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_Q80YX1-2.html,259888000
Elane,Q3UP87,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,186.048,Neutrophil elastase,Normal lung_Q3UP87.html,41394700
Elane,Q3UP87,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,186.048,Neutrophil elastase,Normal lung_Q3UP87.html,41394700
Elane,Q3UP87,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,186.048,Neutrophil elastase,Normal lung ECM (Quantitative detergent solubility profiling)_Q3UP87.html,105397000
Fbln2,P37889,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,184.634,Fibulin-2,Bronchoalveolar lavage of fibrotic lung_P37889.html,22243800
Fbln2,P37889,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,184.634,Fibulin-2,Normal lung_P37889.html,22037100
Fbln2,P37889,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,184.634,Fibulin-2,Normal lung_P37889.html,22037100
Fbln2,P37889,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,184.634,Fibulin-2,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_P37889.html,19927000
Fbln2,P37889,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,184.634,Fibulin-2,Normal lung ECM (Quantitative detergent solubility profiling)_P37889.html,64026300
Ltbp1,Q8CG19-3,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,183.352,Isoform 3 of Latent-transforming growth factor beta-binding protein 1,Bronchoalveolar lavage of fibrotic lung_Q8CG19-3.html,44544500
Ltbp1,Q8CG19-3,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,183.352,Isoform 3 of Latent-transforming growth factor beta-binding protein 1,Normal lung_Q8CG19-3.html,175602000
Ltbp1,Q8CG19-3,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,183.352,Isoform 3 of Latent-transforming growth factor beta-binding protein 1,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_Q8CG19-3.html,8628660
Ltbp1,Q8CG19-3,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,183.352,Isoform 3 of Latent-transforming growth factor beta-binding protein 1,Normal lung ECM (Quantitative detergent solubility profiling)_Q8CG19-3.html,204824000
Adamtsl1,Q8BLI0,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,181.106,ADAMTS-like protein 1,Bronchoalveolar lavage of fibrotic lung_Q8BLI0.html,8979150
Adamtsl1,Q8BLI0,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,181.106,ADAMTS-like protein 1,Normal lung_Q8BLI0.html,23001900
Adamtsl1,Q8BLI0,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,181.106,ADAMTS-like protein 1,Normal lung_Q8BLI0.html,23001900
Adamtsl1,Q8BLI0,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,181.106,ADAMTS-like protein 1,Normal lung ECM (Quantitative detergent solubility profiling)_Q8BLI0.html,32564400
Cstb,Q62426,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,177.858,Cystatin-B,Bronchoalveolar lavage of fibrotic lung_Q62426.html,782750980
Cstb,Q62426,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,177.858,Cystatin-B,Bronchoalveolar lavage of normal lung_Q62426.html,76518200
Cstb,Q62426,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,177.858,Cystatin-B,Normal lung_Q62426.html,20221.8
Cstb,Q62426,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,177.858,Cystatin-B,Normal lung ECM (Quantitative detergent solubility profiling)_Q62426.html,63504100
Pcolce,Q61398,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,171.588,Procollagen C-endopeptidase enhancer 1,Bronchoalveolar lavage of fibrotic lung_Q61398.html,88422304
Pcolce,Q61398,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,171.588,Procollagen C-endopeptidase enhancer 1,Normal lung_Q61398.html,14349500
Pcolce,Q61398,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,171.588,Procollagen C-endopeptidase enhancer 1,Normal lung_Q61398.html,14349500
Pcolce,Q61398,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,171.588,Procollagen C-endopeptidase enhancer 1,Normal lung ECM (Quantitative detergent solubility profiling)_Q61398.html,115033000
Reg3g,O09049,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,167.372,Regenerating islet-derived protein 3-gamma,Bronchoalveolar lavage of fibrotic lung_O09049.html,327588992
Reg3g,O09049,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,167.372,Regenerating islet-derived protein 3-gamma,Bronchoalveolar lavage of normal lung_O09049.html,25167800
Reg3g,O09049,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,167.372,Regenerating islet-derived protein 3-gamma,Normal lung_O09049.html,22693.9
Adam10,O35598,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,164.255,Disintegrin and metalloproteinase domain-containing protein 10,Normal lung_O35598.html,548246
Adam10,O35598,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,164.255,Disintegrin and metalloproteinase domain-containing protein 10,Normal lung ECM (Quantitative detergent solubility profiling)_O35598.html,432569984
Fbln1,Q08879,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,163.628,Fibulin-1,Bronchoalveolar lavage of fibrotic lung_Q08879.html,241624992
Fbln1,Q08879,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,163.628,Fibulin-1,Bronchoalveolar lavage of normal lung_Q08879.html,1724820
Fbln1,Q08879,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,163.628,Fibulin-1,Normal lung_Q08879.html,29417100
Fbln1,Q08879,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,163.628,Fibulin-1,Normal lung_Q08879.html,29417100
Fbln1,Q08879,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,163.628,Fibulin-1,Normal lung ECM (Quantitative detergent solubility profiling)_Q08879.html,36996600
Col15a1,O35206,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,155.775,Collagen alpha-1(XV) chain,Normal lung_O35206.html,82273296
Col15a1,O35206,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,155.775,Collagen alpha-1(XV) chain,Normal lung_O35206.html,82273296
Col15a1,O35206,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,155.775,Collagen alpha-1(XV) chain,Normal lung ECM (Quantitative detergent solubility profiling)_O35206.html,216943008
Col8a1,Q00780,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,147.652,Collagen alpha-1(VIII) chain,Normal lung_Q00780.html,66073.7
Col8a1,Q00780,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,147.652,Collagen alpha-1(VIII) chain,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_Q00780.html,36436200
Col8a1,Q00780,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,147.652,Collagen alpha-1(VIII) chain,Normal lung ECM (Quantitative detergent solubility profiling)_Q00780.html,6567740
Emid1,Q91VF5,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,145.157,EMI domain-containing protein 1,Normal lung_Q91VF5.html,27702700
Emid1,Q91VF5,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,145.157,EMI domain-containing protein 1,Normal lung_Q91VF5.html,27702700
Emid1,Q91VF5,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,145.157,EMI domain-containing protein 1,Normal lung ECM (Quantitative detergent solubility profiling)_Q91VF5.html,99138200
S100a1,P56565,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,143.81,Protein S100-A1,Bronchoalveolar lavage of fibrotic lung_P56565.html,156676000
S100a1,P56565,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,143.81,Protein S100-A1,Bronchoalveolar lavage of normal lung_P56565.html,34632900
S100a1,P56565,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,143.81,Protein S100-A1,Normal lung ECM (Quantitative detergent solubility profiling)_P56565.html,59009800
Anxa8,O35640,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,143.194,Annexin A8,Bronchoalveolar lavage of fibrotic lung_O35640.html,973254020
Anxa8,O35640,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,143.194,Annexin A8,Bronchoalveolar lavage of normal lung_O35640.html,47511100
Anxa8,O35640,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,143.194,Annexin A8,Normal lung ECM (Quantitative detergent solubility profiling)_O35640.html,1717240
Serpine2,Q07235,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,140.767,Glia-derived nexin,Bronchoalveolar lavage of fibrotic lung_Q07235.html,9405340
Serpine2,Q07235,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,140.767,Glia-derived nexin,Normal lung_Q07235.html,11781.6
Serpine2,Q07235,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,140.767,Glia-derived nexin,Normal lung ECM (Quantitative detergent solubility profiling)_Q07235.html,201456000
Bmper,Q8CJ69,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,140.24,BMP-binding endothelial regulator protein,Normal lung_Q8CJ69.html,25134900
Bmper,Q8CJ69,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,140.24,BMP-binding endothelial regulator protein,Normal lung_Q8CJ69.html,25134900
Bmper,Q8CJ69,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,140.24,BMP-binding endothelial regulator protein,Normal lung ECM (Quantitative detergent solubility profiling)_Q8CJ69.html,8959270
Ambp,Q07456,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,139.581,Protein AMBP,Bronchoalveolar lavage of fibrotic lung_Q07456.html,982809020
Ambp,Q07456,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,139.581,Protein AMBP,Bronchoalveolar lavage of normal lung_Q07456.html,12495500
Ambp,Q07456,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,139.581,Protein AMBP,Normal lung_Q07456.html,3747380
Ambp,Q07456,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,139.581,Protein AMBP,Normal lung_Q07456.html,3747380
Ambp,Q07456,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,139.581,Protein AMBP,Normal lung ECM (Quantitative detergent solubility profiling)_Q07456.html,20324300
Col10a1,Q05306,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,139.302,Collagen alpha-1(X) chain,Normal lung_Q05306.html,48837100
Col10a1,Q05306,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,139.302,Collagen alpha-1(X) chain,Normal lung_Q05306.html,48837100
Col10a1,Q05306,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,139.302,Collagen alpha-1(X) chain,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_Q05306.html,6308220
Col10a1,Q05306,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,139.302,Collagen alpha-1(X) chain,Normal lung ECM (Quantitative detergent solubility profiling)_Q05306.html,38268200
Egfl7,Q9QXT5,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,137.332,Epidermal growth factor-like protein 7,Normal lung_Q9QXT5.html,381419008
Egfl7,Q9QXT5,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,137.332,Epidermal growth factor-like protein 7,Normal lung_Q9QXT5.html,381419008
Egfl7,Q9QXT5,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,137.332,Epidermal growth factor-like protein 7,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_Q9QXT5.html,42930900
Egfl7,Q9QXT5,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,137.332,Epidermal growth factor-like protein 7,Normal lung ECM (Quantitative detergent solubility profiling)_Q9QXT5.html,68439000
Pf4,Q9Z126,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,135.756,Platelet factor 4,Normal lung_Q9Z126.html,553672
Pf4,Q9Z126,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,135.756,Platelet factor 4,Normal lung ECM (Quantitative detergent solubility profiling)_Q9Z126.html,736873980
Anxa9,Q9JHQ0,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,134.337,Annexin A9,Normal lung_Q9JHQ0.html,39877.5
Anxa9,Q9JHQ0,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,134.337,Annexin A9,Normal lung ECM (Quantitative detergent solubility profiling)_Q9JHQ0.html,136638000
C1qb,P14106,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,125.639,Complement C1q subcomponent subunit B,Bronchoalveolar lavage of fibrotic lung_P14106.html,256642000
C1qb,P14106,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,125.639,Complement C1q subcomponent subunit B,Bronchoalveolar lavage of normal lung_P14106.html,947377
C1qb,P14106,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,125.639,Complement C1q subcomponent subunit B,Normal lung_P14106.html,3721080
C1qb,P14106,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,125.639,Complement C1q subcomponent subunit B,Normal lung ECM (Quantitative detergent solubility profiling)_P14106.html,12100600
Sftpc,P21841,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,125.41,Pulmonary surfactant-associated protein C,Bronchoalveolar lavage of fibrotic lung_P21841.html,142888000
Sftpc,P21841,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,125.41,Pulmonary surfactant-associated protein C,Bronchoalveolar lavage of normal lung_P21841.html,26421900
Sftpc,P21841,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,125.41,Pulmonary surfactant-associated protein C,Normal lung_P21841.html,37219000
Sftpc,P21841,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,125.41,Pulmonary surfactant-associated protein C,Normal lung_P21841.html,37219000
Sftpc,P21841,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,125.41,Pulmonary surfactant-associated protein C,Normal lung ECM (Quantitative detergent solubility profiling)_P21841.html,311896000
Plod3,Q9R0E1,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,124.282,Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3,Normal lung_Q9R0E1.html,286679
Plod3,Q9R0E1,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,124.282,Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3,Normal lung ECM (Quantitative detergent solubility profiling)_Q9R0E1.html,78200200
Plxna1,P70206,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,118.171,Plexin-A1,Normal lung ECM (Quantitative detergent solubility profiling)_P70206.html,160162000
S100g,P97816,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,117.419,Protein S100-G,Bronchoalveolar lavage of fibrotic lung_P97816.html,82320096
S100g,P97816,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,117.419,Protein S100-G,Bronchoalveolar lavage of normal lung_P97816.html,1996570
S100g,P97816,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,117.419,Protein S100-G,Normal lung ECM (Quantitative detergent solubility profiling)_P97816.html,27449500
Vwa1,Q8R2Z5,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,114.926,von Willebrand factor A domain-containing protein 1,Normal lung_Q8R2Z5.html,22954400
Vwa1,Q8R2Z5,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,114.926,von Willebrand factor A domain-containing protein 1,Normal lung_Q8R2Z5.html,22954400
Vwa1,Q8R2Z5,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,114.926,von Willebrand factor A domain-containing protein 1,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_Q8R2Z5.html,140800
Vwa1,Q8R2Z5,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,114.926,von Willebrand factor A domain-containing protein 1,Normal lung ECM (Quantitative detergent solubility profiling)_Q8R2Z5.html,32633200
Clec14a,Q8VCP9,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,113.614,C-type lectin domain family 14 member A,Normal lung_Q8VCP9.html,411710
Clec14a,Q8VCP9,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,113.614,C-type lectin domain family 14 member A,Normal lung ECM (Quantitative detergent solubility profiling)_Q8VCP9.html,59514500
Mbl1,P39039,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,113.282,Mannose-binding protein A,Bronchoalveolar lavage of fibrotic lung_P39039.html,197028000
Mbl1,P39039,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,113.282,Mannose-binding protein A,Bronchoalveolar lavage of normal lung_P39039.html,2864300
Mbl1,P39039,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,113.282,Mannose-binding protein A,Normal lung ECM (Quantitative detergent solubility profiling)_P39039.html,15732000
Lgals1,P16045,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,111.631,Galectin-1,Bronchoalveolar lavage of fibrotic lung_P16045.html,31745900
Lgals1,P16045,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,111.631,Galectin-1,Normal lung_P16045.html,1239170
Lgals1,P16045,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,111.631,Galectin-1,Normal lung_P16045.html,1239170
Lgals1,P16045,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,111.631,Galectin-1,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_P16045.html,816306
Lgals1,P16045,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,111.631,Galectin-1,Normal lung ECM (Quantitative detergent solubility profiling)_P16045.html,171836000
Serpina3k,P07759,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,111.27,Serine protease inhibitor A3K,Bronchoalveolar lavage of fibrotic lung_P07759.html,447787008000
Serpina3k,P07759,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,111.27,Serine protease inhibitor A3K,Bronchoalveolar lavage of normal lung_P07759.html,17277100000
Serpina3k,P07759,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,111.27,Serine protease inhibitor A3K,Normal lung_P07759.html,107691000
Serpina3k,P07759,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,111.27,Serine protease inhibitor A3K,Normal lung_P07759.html,107691000
Serpina3k,P07759,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,111.27,Serine protease inhibitor A3K,Normal lung ECM (Quantitative detergent solubility profiling)_P07759.html,556097020
Thbs3,Q05895,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,106.418,Thrombospondin-3,Bronchoalveolar lavage of fibrotic lung_Q05895.html,283977984
Thbs3,Q05895,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,106.418,Thrombospondin-3,Bronchoalveolar lavage of normal lung_Q05895.html,34453700
Thbs3,Q05895,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,106.418,Thrombospondin-3,Normal lung_Q05895.html,57553
Thbs3,Q05895,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,106.418,Thrombospondin-3,Normal lung ECM (Quantitative detergent solubility profiling)_Q05895.html,108468000
Ctsl,P06797,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,106.202,Cathepsin L1,Bronchoalveolar lavage of fibrotic lung_P06797.html,340993984
Ctsl,P06797,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,106.202,Cathepsin L1,Bronchoalveolar lavage of normal lung_P06797.html,110343000
Ctsl,P06797,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,106.202,Cathepsin L1,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_P06797.html,1009640
Ctsl,P06797,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,106.202,Cathepsin L1,Normal lung ECM (Quantitative detergent solubility profiling)_P06797.html,22690300
Efemp2,Q9WVJ9,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,103.386,EGF-containing fibulin-like extracellular matrix protein 2,Normal lung_Q9WVJ9.html,26150700
Efemp2,Q9WVJ9,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,103.386,EGF-containing fibulin-like extracellular matrix protein 2,Normal lung_Q9WVJ9.html,26150700
Efemp2,Q9WVJ9,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,103.386,EGF-containing fibulin-like extracellular matrix protein 2,Normal lung ECM (Quantitative detergent solubility profiling)_Q9WVJ9.html,210878000
Ltbp4,Q8K4G1-2,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,99.2838,Isoform 2 of Latent-transforming growth factor beta-binding protein 4,Normal lung_Q8K4G1-2.html,129238000
Ltbp4,Q8K4G1-2,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,99.2838,Isoform 2 of Latent-transforming growth factor beta-binding protein 4,Normal lung ECM (Quantitative detergent solubility profiling)_Q8K4G1-2.html,190398000
Ntn1,O09118,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,97.4519,Netrin-1,Normal lung_O09118.html,273298
Ntn1,O09118,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,97.4519,Netrin-1,Normal lung ECM (Quantitative detergent solubility profiling)_O09118.html,30670300
Frem1,Q684R7,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,94.7878,FRAS1-related extracellular matrix protein 1,Normal lung_Q684R7.html,1411570
Frem1,Q684R7,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,94.7878,FRAS1-related extracellular matrix protein 1,Normal lung ECM (Quantitative detergent solubility profiling)_Q684R7.html,34793900
Papln,Q9EPX2,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,86.1413,Papilin,Normal lung_Q9EPX2.html,1145720
Papln,Q9EPX2,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,86.1413,Papilin,Normal lung ECM (Quantitative detergent solubility profiling)_Q9EPX2.html,27918300
Hgfac,Q9R098,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,85.7297,Hepatocyte growth factor activator,Bronchoalveolar lavage of fibrotic lung_Q9R098.html,646833020
Hgfac,Q9R098,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,85.7297,Hepatocyte growth factor activator,Bronchoalveolar lavage of normal lung_Q9R098.html,33388200
Fras1,Q80T14,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,85.4706,Extracellular matrix protein FRAS1,Normal lung_Q80T14.html,408443
Fras1,Q80T14,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,85.4706,Extracellular matrix protein FRAS1,Normal lung ECM (Quantitative detergent solubility profiling)_Q80T14.html,8019190
Fbln1,Q08879-2,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,84.9024,Isoform C of Fibulin-1,Bronchoalveolar lavage of fibrotic lung_Q08879-2.html,241624992
Fbln1,Q08879-2,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,84.9024,Isoform C of Fibulin-1,Bronchoalveolar lavage of normal lung_Q08879-2.html,1724820
Fbln1,Q08879-2,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,84.9024,Isoform C of Fibulin-1,Normal lung_Q08879-2.html,29417100
